	contamination	dim_reducer	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	f1_macro	fraction	in_f1	metric	model_name	model_path	model_train_data	model_type	n_components	out_f1	out_prec	out_rec	outlier_detector	seed	set_op_mix_ratio	time
0	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8395888611135872	1.0	0.9665144142261497	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7126633080010247	0.7438502673796792	0.6839862317652844	AE_1_mono	42.0	0.5	6.057094654999673
1	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8575129586533468	1.0	0.9702560428297061	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7447698744769875	0.777361853832442	0.7148008523192919	AE_3_duo_as	42.0	0.5	6.203722051985096
2	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.849695001215792	1.0	0.9686240558856016	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7307659465459825	0.7627450980392156	0.7013604327159482	AE_2_mono	42.0	0.5	5.213089178025257
3	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8576082995977072	1.0	0.9702759451095123	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7449406540859022	0.7775401069518717	0.7149647598754303	AE_3_mono	42.0	0.5	6.524564729013946
4	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8623753468157284	1.0	0.9712710590998198	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7534796345316369	0.7864527629233512	0.7231601376823471	AE_5_mono	42.0	0.5	9.035549040010665
5	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8668563712006683	1.0	0.972206466250709	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7615062761506276	0.7948306595365419	0.730863792820849	AE_10_mono	42.0	0.5	15.62148089701077
6	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8403515886684705	1.0	0.9666736324645988	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7140295448723423	0.7452762923351158	0.6852974922143911	AE_1_duo	42.0	0.5	3.8535083360038698
7	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8539853437120111	1.0	0.9695196584768786	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7384510289471437	0.7707664884135472	0.7087362727421734	AE_2_duo	42.0	0.5	4.950777757039759
8	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8583710271525906	1.0	0.9704351633479615	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7463068909572197	0.7789661319073083	0.716276020324537	AE_3_duo	42.0	0.5	6.484521261008922
9	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8624706877600888	1.0	0.9712909613796261	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7536504141405516	0.7866310160427807	0.7233240452384855	AE_5_duo	42.0	0.5	9.327029042993672
10	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8663796664788662	1.0	0.9721069548516783	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7606523781060541	0.793939393939394	0.7300442550401574	AE_10_duo	42.0	0.5	15.945312973984983
11	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8527459114353255	1.0	0.9692609288393985	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7362308940312526	0.7684491978609626	0.706605474512375	AE_1_micro	42.0	0.5	3.9620655099861324
12	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8555107988217778	1.0	0.9698380949537769	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7411835026897788	0.7736185383244206	0.7113587936403868	AE_2_micro	42.0	0.5	5.350058407988399
13	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.859324436596195	1.0	0.970634186146023	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7480146870463668	0.7807486631016043	0.7179150958859204	AE_3_micro	42.0	0.5	6.6048890160163864
14	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.854176025600732	1.0	0.9695594630364908	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7387925881649732	0.7711229946524064	0.7090640878544501	AE_1_tiny	42.0	0.5	3.5476214709924534
15	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8569409129871843	1.0	0.9701366291508692	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7437451968234994	0.7762923351158645	0.7138174069824619	AE_2_tiny	42.0	0.5	4.718395103001967
16	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.8595151184849157	1.0	0.9706739907056353	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.7483562462641961	0.7811051693404635	0.718242910998197	AE_3_tiny	42.0	0.5	6.631076892954297
17	0.1	UMAPModel(set_op_mix_ratio=[0.5, 1.0], metric=['cosine'], n_components=[8, 16, 32, 64, 200], dim_reducer='umap')	1.0	100.0	1.0	0.9420803763010426	1.0	0.9879093650177627	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.8962513875843224	0.9354723707664884	0.8601868546139977	AE_1_mono	42.0	1.0	6.250748846039642
